leftid,rightid,region,note
8993049,17867309,,
9006142,5783868,,
9015745,9583435,,
9048462,10612630,,
9051960,17813006,,
9057998,14214039,,
9061235,13836327,,
9062992,8792477,,
9064208,5934511,,
9072237,4201020,,
9078240,7688300,,
9083312,14077179,,
9109799,9074101,,
9141404,16691937,,
9154024,16947349,,
9201911,17591687,,
9207332,8305958,,
9235545,17435815,,
9236708,9212816,,
9237370,3726990,,
9237734,15800115,,
9238937,9103732,,
9239759,9034378,,
9251793,4190567,,
9252296,4201555,,
9348984,2772093,,
9351843,17990556,,
9372642,9842000,,
9384504,5935744,,
9408003,6061068,,
9409359,3913620,,
9421292,5507096,,
9423829,9057043,,
9424902,3027876,,
9428865,13674287,,
9429085,17247877,,
9436520,20536322,,
9445876,4102413,,
9447255,16295025,,
9480916,9077224,,
9481869,14762026,,
9488991,5585799,,
9503414,13950464,,
9503428,10343101,,
9508724,17541953,,
9524538,11946903,,
9527333,13210358,,
9527522,14083681,,
9567051,9539868,,
9577562,17132009,,
9589146,7503199,,
9594273,16934932,,
9612903,17535542,,
9714476,16709072,,
9739780,3182103,,
9747418,4127707,,
9787592,13191017,,
9787933,867393,,
9792178,2920061,,
9795662,15250080,,
9800031,17980698,,
9822593,15023987,,
9842383,6219445,,
9870483,12935696,,
9927082,7874184,,
9940382,8124177,,
9961098,4311241,,
9965610,8132513,,
9971209,8812078,,
9983417,17658884,,
10017804,2660767,,
10017931,6978516,,
10017661,11460897,,
10017944,16913476,,
10018150,17379298,,
10018161,17379360,,
10018260,17379372,,
10100020,1868538,,
10160250,3450751,,
10202724,5480553,,
10209260,17437719,,
10229852,16347283,,
10234576,19090042,,
10237401,5858788,,
10238739,5893912,,
10240382,5895651,,
10248031,17380319,,
10281116,10351681,,
10282065,5946241,,
10317031,2504517,,
10323628,8370111,,
10329208,3561724,,
10345590,15048530,,
10378182,16713231,,
10382686,16100103,,
10382824,17297936,,
10400440,18264509,,
10411574,17379420,,
10418394,2260755,,
10427055,17437725,,
10447988,16540741,,
10449035,17658948,,
10459723,13535380,,
10473853,16355225,,
10523825,17455871,,
10527147,7573476,,
10540188,8932110,,
10543751,11464638,,
10553248,8496618,,
10555409,5247102,,
10563755,13535387,,
10568310,2667980,,
10581624,13564607,,
10583715,11306294,,
10596949,13411445,,
10600188,8571259,,
10609443,6114695,,
10612094,12122924,,
10658673,13045287,,
10682660,16856539,,
10702736,14206030,,
10710503,18142558,,
10714526,2911847,,
10716080,3595837,,
10728318,3598000,,
10728323,2655798,,
10728328,18464581,,
10728333,13557064,,
10756813,2648254,,
10758204,2650887,,
10760217,2669331,,
10766722,16450562,,
10792336,5163599,,
10792617,11278919,,
10797407,14760757,,
10809383,5321459,,
10842047,14914182,,
10842099,10882750,,
10865025,4116174,,
10872426,8572353,,
21300466,18644088,,
10875625,4067286,,
10880408,10875178,,
10885466,12548756,,
10893103,9720614,,
10915553,11905911,,
10918898,4228105,,
10921106,16388736,,
10922020,17123466,,
10922928,3149791,,
10955244,11248536,,
10958210,17671375,,
10964258,17357979,,
10982951,8697453,,
11003551,17913199,,
11003660,16594509,,
11003707,17525174,,
11004239,8069478,,
11007420,16884962,,
11009492,17304269,,
11011058,2667061,,
11013351,11909406,,
11013583,17589475,,
11017761,16178283,,
11018254,15480928,,
11022546,17663944,,
11027071,3010486,,
11037238,7719118,,
11051740,7421507,,
11067379,4393049,,
11073313,16347476,,
11079069,10986253,,
11084320,8461082,,
11123016,4152020,,
11135340,11645541,,
11144258,9800178,,
11146422,19276024,,
11157622,17036132,,
11192283,6254216,,
11193510,3930411,,
11195708,13968203,,
11216417,8451818,,
11217208,5993001,,
11229136,17529547,,
11257084,7612147,,
11263687,6692908,,
11286854,8942413,,
11291653,8412625,,
11303036,15823055,,
11329998,13365464,,
11333054,17884299,,
11348509,3765735,,
11389855,16484888,,
11409587,17019327,,
11468088,4188325,,
11600886,7980189,,
11625573,18545747,,
11639192,10059655,,
11656349,16297403,,
11687072,18425189,,
11691603,4444354,KC,
11703922,16181377,,
11717001,10683313,,
11717014,21591037,,
11717025,8413543,,
11717030,9606496,,
11719626,20278329,,
11725127,4230061,KC,
11725803,8066542,KC,
16627838,8413663,KC,
11756023,20344845,,
11782821,3913613,,
11821320,6220384,,
11841664,5856647,,
11853038,12842593,,
11871574,11102156,,
11876076,15674282,,
11908619,8318813,,
11934107,3844961,,
11934261,15633329,,
12000033,9750356,,
12089601,11838242,,
12121795,11788830,,
12138418,8310087,,
12195879,20443598,,
12225666,4327684,,
12233237,11528017,,
12252572,16651566,,
12262910,5738449,,
12279909,8471817,,
12279941,17328632,,
12281339,9585013,,
12293334,13405613,,
12299621,8034919,,
12299647,11624548,,
12299704,10768709,,
12299805,7422595,,
12300089,10827212,,
12325227,9507904,,
12356747,19857573,,
12360656,17819985,,
12364717,11356523,,
12366224,19857577,,
12366640,17897298,,
12367135,16666673,,
12367568,12884490,,
12387154,8723267,,
12389097,15674269,,
12390459,19989037,,
12398622,4103336,,
12420377,13242252,,
12420898,5162462,,
12424940,5971400,,
12425856,13173311,,
12452356,6250655,,
12475432,3890028,,
12476851,16070049,,
12478620,16318521,,
12479019,5560620,,
12498338,3913629,,
