,match_ratio,sim,method,seed,elapsed,converged,n_iter,score
79,1.0,39,BGM,3200691735,0.0009200572967529297,True,3,0
80,0.5555555555555556,40,GM,3037658058,0.0009291172027587891,True,4,0
81,1.0,40,BGM,3037658058,0.0006830692291259766,True,3,0
82,0.5555555555555556,41,GM,2080003735,0.0007731914520263672,True,4,0
83,1.0,41,BGM,2080003735,0.00066375732421875,True,3,0
84,0.5555555555555556,42,GM,345288839,0.0007810592651367188,True,4,0
85,1.0,42,BGM,345288839,0.0006539821624755859,True,3,0
86,0.5555555555555556,43,GM,303492612,0.0007617473602294922,True,4,0
87,1.0,43,BGM,303492612,0.0006587505340576172,True,3,0
88,0.5555555555555556,44,GM,1376069541,0.0007598400115966797,True,4,0
89,1.0,44,BGM,1376069541,0.0006530284881591797,True,3,0
90,0.5555555555555556,45,GM,801440563,0.0008556842803955078,True,4,0
91,1.0,45,BGM,801440563,0.0006992816925048828,True,3,0
92,0.5555555555555556,46,GM,604724433,0.0008168220520019531,True,4,0
93,1.0,46,BGM,604724433,0.000682830810546875,True,3,0
94,0.5555555555555556,47,GM,3948372264,0.0007448196411132812,True,4,0
95,1.0,47,BGM,3948372264,0.0006399154663085938,True,3,0
96,0.5555555555555556,48,GM,1655188775,0.0007529258728027344,True,4,0
97,1.0,48,BGM,1655188775,0.0006468296051025391,True,3,0
98,0.5555555555555556,49,GM,2605143165,0.0009188652038574219,True,4,0
99,1.0,49,BGM,2605143165,0.0006551742553710938,True,3,0
