,match_ratio,n_seeds,method,fold
0,0.624,0,GM,0
1,0.856,0,BGM,0
2,0.816,100,GM,0
3,0.888,100,BGM,0
4,0.792,200,GM,0
5,0.88,200,BGM,0
6,0.88,300,GM,0
7,0.944,300,BGM,0
8,0.896,400,GM,0
9,0.952,400,BGM,0
10,0.584,0,GM,1
11,0.776,0,BGM,1
12,0.792,100,GM,1
13,0.832,100,BGM,1
14,0.816,200,GM,1
15,0.872,200,BGM,1
16,0.88,300,GM,1
17,0.896,300,BGM,1
18,0.912,400,GM,1
19,0.904,400,BGM,1
20,0.6129032258064516,0,GM,2
21,0.8467741935483871,0,BGM,2
22,0.8548387096774194,100,GM,2
23,0.8870967741935484,100,BGM,2
24,0.8790322580645161,200,GM,2
25,0.8951612903225806,200,BGM,2
26,0.9193548387096774,300,GM,2
27,0.9112903225806451,300,BGM,2
28,0.9354838709677419,400,GM,2
29,0.9354838709677419,400,BGM,2
30,0.5887096774193549,0,GM,3
31,0.8467741935483871,0,BGM,3
32,0.8145161290322581,100,GM,3
33,0.9274193548387096,100,BGM,3
34,0.8306451612903226,200,GM,3
35,0.9193548387096774,200,BGM,3
36,0.8709677419354839,300,GM,3
37,0.9354838709677419,300,BGM,3
38,0.8790322580645161,400,GM,3
39,0.9435483870967742,400,BGM,3
40,0.5403225806451613,0,GM,4
41,0.7419354838709677,0,BGM,4
42,0.7580645161290323,100,GM,4
43,0.8548387096774194,100,BGM,4
44,0.8064516129032258,200,GM,4
45,0.8709677419354839,200,BGM,4
46,0.8709677419354839,300,GM,4
47,0.9032258064516129,300,BGM,4
48,0.8709677419354839,400,GM,4
49,0.9193548387096774,400,BGM,4
