,ipsi_rho,contra_rho,match_ratio,sim,method,n_side
191,0.8,0.2,0.2222222222222222,95,BGM,9
192,0.8,0.2,0.7777777777777778,96,GM,9
193,0.8,0.2,1.0,96,BGM,9
194,0.8,0.2,0.6666666666666666,97,GM,9
195,0.8,0.2,0.6666666666666666,97,BGM,9
196,0.8,0.2,1.0,98,GM,9
197,0.8,0.2,1.0,98,BGM,9
198,0.8,0.2,0.7777777777777778,99,GM,9
199,0.8,0.2,0.1111111111111111,99,BGM,9
200,0.8,0.2,1.0,100,GM,9
201,0.8,0.2,1.0,100,BGM,9
202,0.8,0.2,1.0,101,GM,9
203,0.8,0.2,1.0,101,BGM,9
204,0.8,0.2,1.0,102,GM,9
205,0.8,0.2,1.0,102,BGM,9
206,0.8,0.2,1.0,103,GM,9
207,0.8,0.2,0.0,103,BGM,9
208,0.8,0.2,0.1111111111111111,104,GM,9
209,0.8,0.2,1.0,104,BGM,9
210,0.8,0.2,1.0,105,GM,9
211,0.8,0.2,1.0,105,BGM,9
212,0.8,0.2,1.0,106,GM,9
213,0.8,0.2,1.0,106,BGM,9
214,0.8,0.2,1.0,107,GM,9
215,0.8,0.2,1.0,107,BGM,9
216,0.8,0.2,0.5555555555555556,108,GM,9
217,0.8,0.2,1.0,108,BGM,9
218,0.8,0.2,0.7777777777777778,109,GM,9
219,0.8,0.2,1.0,109,BGM,9
220,0.8,0.2,0.2222222222222222,110,GM,9
221,0.8,0.2,1.0,110,BGM,9
222,0.8,0.2,1.0,111,GM,9
223,0.8,0.2,0.4444444444444444,111,BGM,9
224,0.8,0.2,1.0,112,GM,9
225,0.8,0.2,0.6666666666666666,112,BGM,9
226,0.8,0.2,1.0,113,GM,9
227,0.8,0.2,1.0,113,BGM,9
228,0.8,0.2,0.7777777777777778,114,GM,9
229,0.8,0.2,0.4444444444444444,114,BGM,9
230,0.8,0.2,1.0,115,GM,9
231,0.8,0.2,1.0,115,BGM,9
232,0.8,0.2,0.7777777777777778,116,GM,9
233,0.8,0.2,0.7777777777777778,116,BGM,9
234,0.8,0.2,1.0,117,GM,9
235,0.8,0.2,0.7777777777777778,117,BGM,9
236,0.8,0.2,1.0,118,GM,9
237,0.8,0.2,1.0,118,BGM,9
238,0.8,0.2,1.0,119,GM,9
239,0.8,0.2,1.0,119,BGM,9
240,0.8,0.2,1.0,120,GM,9
241,0.8,0.2,1.0,120,BGM,9
242,0.8,0.2,1.0,121,GM,9
243,0.8,0.2,1.0,121,BGM,9
244,0.8,0.2,1.0,122,GM,9
245,0.8,0.2,1.0,122,BGM,9
246,0.8,0.2,1.0,123,GM,9
247,0.8,0.2,1.0,123,BGM,9
248,0.8,0.2,1.0,124,GM,9
249,0.8,0.2,0.2222222222222222,124,BGM,9
250,0.8,0.2,1.0,125,GM,9
251,0.8,0.2,1.0,125,BGM,9
252,0.8,0.2,1.0,126,GM,9
253,0.8,0.2,0.3333333333333333,126,BGM,9
254,0.8,0.2,1.0,127,GM,9
255,0.8,0.2,0.1111111111111111,127,BGM,9
256,0.8,0.2,0.5555555555555556,128,GM,9
257,0.8,0.2,0.7777777777777778,128,BGM,9
258,0.8,0.2,0.3333333333333333,129,GM,9
259,0.8,0.2,0.2222222222222222,129,BGM,9
260,0.8,0.2,1.0,130,GM,9
261,0.8,0.2,0.7777777777777778,130,BGM,9
262,0.8,0.2,1.0,131,GM,9
263,0.8,0.2,0.4444444444444444,131,BGM,9
264,0.8,0.2,1.0,132,GM,9
265,0.8,0.2,0.5555555555555556,132,BGM,9
266,0.8,0.2,1.0,133,GM,9
267,0.8,0.2,0.6666666666666666,133,BGM,9
268,0.8,0.2,1.0,134,GM,9
269,0.8,0.2,1.0,134,BGM,9
270,0.8,0.2,1.0,135,GM,9
271,0.8,0.2,0.0,135,BGM,9
272,0.8,0.2,1.0,136,GM,9
273,0.8,0.2,0.2222222222222222,136,BGM,9
274,0.8,0.2,0.7777777777777778,137,GM,9
275,0.8,0.2,1.0,137,BGM,9
276,0.8,0.2,0.0,138,GM,9
277,0.8,0.2,0.3333333333333333,138,BGM,9
278,0.8,0.2,1.0,139,GM,9
279,0.8,0.2,0.5555555555555556,139,BGM,9
280,0.8,0.2,1.0,140,GM,9
281,0.8,0.2,1.0,140,BGM,9
282,0.8,0.2,1.0,141,GM,9
283,0.8,0.2,1.0,141,BGM,9
284,0.8,0.2,0.3333333333333333,142,GM,9
285,0.8,0.2,0.6666666666666666,142,BGM,9
286,0.8,0.2,1.0,143,GM,9
287,0.8,0.2,1.0,143,BGM,9
288,0.8,0.2,1.0,144,GM,9
289,0.8,0.2,0.5555555555555556,144,BGM,9
290,0.8,0.2,1.0,145,GM,9
291,0.8,0.2,1.0,145,BGM,9
292,0.8,0.2,0.5555555555555556,146,GM,9
293,0.8,0.2,1.0,146,BGM,9
294,0.8,0.2,0.3333333333333333,147,GM,9
295,0.8,0.2,1.0,147,BGM,9
296,0.8,0.2,1.0,148,GM,9
297,0.8,0.2,0.5555555555555556,148,BGM,9
298,0.8,0.2,0.1111111111111111,149,GM,9
299,0.8,0.2,0.2222222222222222,149,BGM,9
300,0.8,0.2,1.0,150,GM,9
301,0.8,0.2,0.1111111111111111,150,BGM,9
302,0.8,0.2,1.0,151,GM,9
303,0.8,0.2,1.0,151,BGM,9
304,0.8,0.2,1.0,152,GM,9
305,0.8,0.2,1.0,152,BGM,9
306,0.8,0.2,1.0,153,GM,9
307,0.8,0.2,0.7777777777777778,153,BGM,9
308,0.8,0.2,1.0,154,GM,9
309,0.8,0.2,1.0,154,BGM,9
310,0.8,0.2,1.0,155,GM,9
311,0.8,0.2,0.0,155,BGM,9
312,0.8,0.2,1.0,156,GM,9
313,0.8,0.2,1.0,156,BGM,9
314,0.8,0.2,1.0,157,GM,9
315,0.8,0.2,1.0,157,BGM,9
316,0.8,0.2,1.0,158,GM,9
317,0.8,0.2,1.0,158,BGM,9
318,0.8,0.2,1.0,159,GM,9
319,0.8,0.2,1.0,159,BGM,9
320,0.8,0.2,1.0,160,GM,9
321,0.8,0.2,1.0,160,BGM,9
322,0.8,0.2,1.0,161,GM,9
323,0.8,0.2,0.0,161,BGM,9
324,0.8,0.2,0.7777777777777778,162,GM,9
325,0.8,0.2,1.0,162,BGM,9
326,0.8,0.2,0.1111111111111111,163,GM,9
327,0.8,0.2,0.3333333333333333,163,BGM,9
328,0.8,0.2,1.0,164,GM,9
329,0.8,0.2,1.0,164,BGM,9
330,0.8,0.2,1.0,165,GM,9
331,0.8,0.2,1.0,165,BGM,9
332,0.8,0.2,0.2222222222222222,166,GM,9
333,0.8,0.2,1.0,166,BGM,9
334,0.8,0.2,0.3333333333333333,167,GM,9
335,0.8,0.2,1.0,167,BGM,9
336,0.8,0.2,1.0,168,GM,9
