,ipsi_rho,contra_rho,match_ratio,sim,method,n_side
582,0.8,0.2,0.3333333333333333,291,GM,9
583,0.8,0.2,0.3333333333333333,291,BGM,9
584,0.8,0.2,1.0,292,GM,9
585,0.8,0.2,0.7777777777777778,292,BGM,9
586,0.8,0.2,1.0,293,GM,9
587,0.8,0.2,0.1111111111111111,293,BGM,9
588,0.8,0.2,0.3333333333333333,294,GM,9
589,0.8,0.2,0.2222222222222222,294,BGM,9
590,0.8,0.2,1.0,295,GM,9
591,0.8,0.2,1.0,295,BGM,9
592,0.8,0.2,1.0,296,GM,9
593,0.8,0.2,0.3333333333333333,296,BGM,9
594,0.8,0.2,0.7777777777777778,297,GM,9
595,0.8,0.2,0.3333333333333333,297,BGM,9
596,0.8,0.2,1.0,298,GM,9
597,0.8,0.2,0.7777777777777778,298,BGM,9
598,0.8,0.2,1.0,299,GM,9
599,0.8,0.2,1.0,299,BGM,9
600,0.8,0.2,1.0,300,GM,9
601,0.8,0.2,0.4444444444444444,300,BGM,9
602,0.8,0.2,1.0,301,GM,9
603,0.8,0.2,1.0,301,BGM,9
604,0.8,0.2,0.1111111111111111,302,GM,9
605,0.8,0.2,1.0,302,BGM,9
606,0.8,0.2,0.2222222222222222,303,GM,9
607,0.8,0.2,0.1111111111111111,303,BGM,9
608,0.8,0.2,0.2222222222222222,304,GM,9
609,0.8,0.2,0.7777777777777778,304,BGM,9
610,0.8,0.2,0.5555555555555556,305,GM,9
611,0.8,0.2,1.0,305,BGM,9
612,0.8,0.2,1.0,306,GM,9
613,0.8,0.2,1.0,306,BGM,9
614,0.8,0.2,0.7777777777777778,307,GM,9
615,0.8,0.2,0.0,307,BGM,9
616,0.8,0.2,0.7777777777777778,308,GM,9
617,0.8,0.2,1.0,308,BGM,9
618,0.8,0.2,0.1111111111111111,309,GM,9
619,0.8,0.2,1.0,309,BGM,9
620,0.8,0.2,1.0,310,GM,9
621,0.8,0.2,0.3333333333333333,310,BGM,9
622,0.8,0.2,1.0,311,GM,9
623,0.8,0.2,1.0,311,BGM,9
624,0.8,0.2,1.0,312,GM,9
625,0.8,0.2,0.4444444444444444,312,BGM,9
626,0.8,0.2,1.0,313,GM,9
627,0.8,0.2,0.1111111111111111,313,BGM,9
628,0.8,0.2,1.0,314,GM,9
629,0.8,0.2,1.0,314,BGM,9
630,0.8,0.2,0.7777777777777778,315,GM,9
631,0.8,0.2,1.0,315,BGM,9
632,0.8,0.2,0.5555555555555556,316,GM,9
633,0.8,0.2,0.1111111111111111,316,BGM,9
634,0.8,0.2,1.0,317,GM,9
635,0.8,0.2,0.3333333333333333,317,BGM,9
636,0.8,0.2,0.2222222222222222,318,GM,9
637,0.8,0.2,0.3333333333333333,318,BGM,9
638,0.8,0.2,1.0,319,GM,9
639,0.8,0.2,1.0,319,BGM,9
640,0.8,0.2,0.3333333333333333,320,GM,9
641,0.8,0.2,1.0,320,BGM,9
642,0.8,0.2,1.0,321,GM,9
643,0.8,0.2,0.7777777777777778,321,BGM,9
644,0.8,0.2,1.0,322,GM,9
645,0.8,0.2,1.0,322,BGM,9
646,0.8,0.2,1.0,323,GM,9
647,0.8,0.2,1.0,323,BGM,9
648,0.8,0.2,1.0,324,GM,9
649,0.8,0.2,0.1111111111111111,324,BGM,9
650,0.8,0.2,1.0,325,GM,9
651,0.8,0.2,1.0,325,BGM,9
652,0.8,0.2,1.0,326,GM,9
653,0.8,0.2,0.0,326,BGM,9
654,0.8,0.2,1.0,327,GM,9
655,0.8,0.2,1.0,327,BGM,9
656,0.8,0.2,0.7777777777777778,328,GM,9
657,0.8,0.2,0.6666666666666666,328,BGM,9
658,0.8,0.2,0.3333333333333333,329,GM,9
659,0.8,0.2,1.0,329,BGM,9
660,0.8,0.2,0.3333333333333333,330,GM,9
661,0.8,0.2,0.2222222222222222,330,BGM,9
662,0.8,0.2,0.3333333333333333,331,GM,9
663,0.8,0.2,0.3333333333333333,331,BGM,9
664,0.8,0.2,1.0,332,GM,9
665,0.8,0.2,0.0,332,BGM,9
666,0.8,0.2,0.4444444444444444,333,GM,9
667,0.8,0.2,0.7777777777777778,333,BGM,9
668,0.8,0.2,1.0,334,GM,9
669,0.8,0.2,1.0,334,BGM,9
670,0.8,0.2,1.0,335,GM,9
671,0.8,0.2,1.0,335,BGM,9
672,0.8,0.2,1.0,336,GM,9
673,0.8,0.2,1.0,336,BGM,9
674,0.8,0.2,0.3333333333333333,337,GM,9
