,match_ratio,match_ratio_full,method,elapsed,converged,n_iter,score,dataset,p_shuffle,n_shuffle,sim
0,0.5555555555555556,0.5555555555555556,GM,0.013210058212280273,True,4,158.0,specimen_107,0.0,0,0
1,1.0,1.0,BGM,0.0038042068481445312,True,3,176.0,specimen_107,0.0,0,0
2,0.5555555555555556,0.5555555555555556,GM,0.011851072311401367,True,4,158.0,specimen_107,0.0,0,1
3,1.0,1.0,BGM,0.004942893981933594,True,3,176.0,specimen_107,0.0,0,1
4,0.5555555555555556,0.5555555555555556,GM,0.011346101760864258,True,4,158.0,specimen_107,0.0,0,2
5,1.0,1.0,BGM,0.002658843994140625,True,3,176.0,specimen_107,0.0,0,2
6,0.5555555555555556,0.5555555555555556,GM,0.01012730598449707,True,4,158.0,specimen_107,0.0,0,3
7,1.0,1.0,BGM,0.003879070281982422,True,3,176.0,specimen_107,0.0,0,3
8,0.5555555555555556,0.5555555555555556,GM,0.010787010192871094,True,4,158.0,specimen_107,0.0,0,4
9,1.0,1.0,BGM,0.004137992858886719,True,3,176.0,specimen_107,0.0,0,4
10,0.5555555555555556,0.5555555555555556,GM,0.011094093322753906,True,4,158.0,specimen_107,0.0,0,5
11,1.0,1.0,BGM,0.002964019775390625,True,3,176.0,specimen_107,0.0,0,5
12,0.5555555555555556,0.5555555555555556,GM,0.0097808837890625,True,4,158.0,specimen_107,0.0,0,6
13,1.0,1.0,BGM,0.002988576889038086,True,3,176.0,specimen_107,0.0,0,6
14,0.5555555555555556,0.5555555555555556,GM,0.008898019790649414,True,4,158.0,specimen_107,0.0,0,7
15,1.0,1.0,BGM,0.0029740333557128906,True,3,176.0,specimen_107,0.0,0,7
16,0.5555555555555556,0.5555555555555556,GM,0.009940862655639648,True,4,158.0,specimen_107,0.0,0,8
17,1.0,1.0,BGM,0.0030472278594970703,True,3,176.0,specimen_107,0.0,0,8
18,0.5555555555555556,0.5555555555555556,GM,0.00974893569946289,True,4,158.0,specimen_107,0.0,0,9
19,1.0,1.0,BGM,0.0028481483459472656,True,3,176.0,specimen_107,0.0,0,9
20,0.5555555555555556,0.5555555555555556,GM,0.00979304313659668,True,4,158.0,specimen_107,0.0,0,10
21,1.0,1.0,BGM,0.002696990966796875,True,3,176.0,specimen_107,0.0,0,10
22,0.5555555555555556,0.5555555555555556,GM,0.008764982223510742,True,4,158.0,specimen_107,0.0,0,11
