node_id,pair,hemisphere
ADAL,ADA,L
ADEL,ADE,L
ADFL,ADF,L
ADLL,ADL,L
AFDL,AFD,L
AIAL,AIA,L
AIBL,AIB,L
AIML,AIM,L
AINL,AIN,L
AIYL,AIY,L
AIZL,AIZ,L
ALML,ALM,L
ALNL,ALN,L
ASEL,ASE,L
ASGL,ASG,L
ASHL,ASH,L
ASIL,ASI,L
ASJL,ASJ,L
ASKL,ASK,L
AUAL,AUA,L
AVAL,AVA,L
AVBL,AVB,L
AVDL,AVD,L
AVEL,AVE,L
AVFL,AVF,L
AVHL,AVH,L
AVJL,AVJ,L
AVKL,AVK,L
AWAL,AWA,L
AWBL,AWB,L
AWCL,AWC,L
BAGL,BAG,L
BDUL,BDU,L
CEPDL,CEPD,L
CEPVL,CEPV,L
CEPshDL,CEPshD,L
CEPshVL,CEPshV,L
FLPL,FLP,L
GLRVL,GLRV,L
HSNL,HSN,L
I1L,I1,L
I2L,I2,L
IL1L,IL1,L
IL1DL,IL1D,L
IL1VL,IL1V,L
IL2L,IL2,L
IL2DL,IL2D,L
IL2VL,IL2V,L
LUAL,LUA,L
M2L,M2,L
M3L,M3,L
MCL,MC,L
NSML,NSM,L
OLLL,OLL,L
OLQDL,OLQD,L
OLQVL,OLQV,L
PDEL,PDE,L
PHAL,PHA,L
PHBL,PHB,L
PHCL,PHC,L
PLML,PLM,L
PLNL,PLN,L
PVCL,PVC,L
PVDL,PVD,L
PVNL,PVN,L
PVPL,PVP,L
PVQL,PVQ,L
PVWL,PVW,L
RIAL,RIA,L
RIBL,RIB,L
RICL,RIC,L
RIFL,RIF,L
RIGL,RIG,L
RIML,RIM,L
RIPL,RIP,L
RIVL,RIV,L
RMDL,RMD,L
RMDDL,RMDD,L
RMDVL,RMDV,L
RMEL,RME,L
RMFL,RMF,L
RMGL,RMG,L
RMHL,RMH,L
SAADL,SAAD,L
SAAVL,SAAV,L
SABVL,SABV,L
SDQL,SDQ,L
SIADL,SIAD,L
SIAVL,SIAV,L
SIBDL,SIBD,L
SIBVL,SIBV,L
SMBDL,SMBD,L
SMBVL,SMBV,L
SMDDL,SMDD,L
SMDVL,SMDV,L
URADL,URAD,L
URAVL,URAV,L
URBL,URB,L
URXL,URX,L
URYDL,URYD,L
URYVL,URYV,L
dBWML1,dBWM1,L
dBWML10,dBWM10,L
dBWML11,dBWM11,L
dBWML12,dBWM12,L
dBWML13,dBWM13,L
dBWML14,dBWM14,L
dBWML15,dBWM15,L
dBWML16,dBWM16,L
dBWML2,dBWM2,L
dBWML3,dBWM3,L
dBWML4,dBWM4,L
dBWML5,dBWM5,L
dBWML6,dBWM6,L
dBWML7,dBWM7,L
dBWML8,dBWM8,L
dBWML9,dBWM9,L
e3VL,e3V,L
g1AL,g1A,L
mc2DL,mc2D,L
pm3VL,pm3V,L
pm4VL,pm4V,L
pm5VL,pm5V,L
vBWML1,vBWM1,L
vBWML10,vBWM10,L
vBWML11,vBWM11,L
vBWML12,vBWM12,L
vBWML13,vBWM13,L
vBWML14,vBWM14,L
vBWML15,vBWM15,L
vBWML16,vBWM16,L
vBWML2,vBWM2,L
vBWML20,vBWM20,L
vBWML21,vBWM21,L
vBWML3,vBWM3,L
vBWML4,vBWM4,L
vBWML5,vBWM5,L
vBWML6,vBWM6,L
vBWML7,vBWM7,L
vBWML8,vBWM8,L
vBWML9,vBWM9,L
vm2AL,vm2A,L
vm2PL,vm2P,L
ADAR,ADA,R
ADER,ADE,R
ADFR,ADF,R
ADLR,ADL,R
AFDR,AFD,R
AIAR,AIA,R
AIBR,AIB,R
AIMR,AIM,R
AINR,AIN,R
AIYR,AIY,R
AIZR,AIZ,R
ALMR,ALM,R
ALNR,ALN,R
ASER,ASE,R
ASGR,ASG,R
ASHR,ASH,R
ASIR,ASI,R
ASJR,ASJ,R
ASKR,ASK,R
AUAR,AUA,R
AVAR,AVA,R
AVBR,AVB,R
AVDR,AVD,R
AVER,AVE,R
AVFR,AVF,R
AVHR,AVH,R
AVJR,AVJ,R
AVKR,AVK,R
AWAR,AWA,R
AWBR,AWB,R
AWCR,AWC,R
BAGR,BAG,R
BDUR,BDU,R
CEPDR,CEPD,R
CEPVR,CEPV,R
CEPshDR,CEPshD,R
CEPshVR,CEPshV,R
FLPR,FLP,R
GLRVR,GLRV,R
HSNR,HSN,R
I1R,I1,R
I2R,I2,R
IL1R,IL1,R
IL1DR,IL1D,R
IL1VR,IL1V,R
IL2R,IL2,R
IL2DR,IL2D,R
IL2VR,IL2V,R
LUAR,LUA,R
M2R,M2,R
M3R,M3,R
MCR,MC,R
NSMR,NSM,R
OLLR,OLL,R
OLQDR,OLQD,R
OLQVR,OLQV,R
PDER,PDE,R
PHAR,PHA,R
PHBR,PHB,R
PHCR,PHC,R
PLMR,PLM,R
PLNR,PLN,R
PVCR,PVC,R
PVDR,PVD,R
PVNR,PVN,R
PVPR,PVP,R
PVQR,PVQ,R
PVWR,PVW,R
RIAR,RIA,R
RIBR,RIB,R
RICR,RIC,R
RIFR,RIF,R
RIGR,RIG,R
RIMR,RIM,R
RIPR,RIP,R
RIVR,RIV,R
RMDR,RMD,R
RMDDR,RMDD,R
RMDVR,RMDV,R
RMER,RME,R
RMFR,RMF,R
RMGR,RMG,R
RMHR,RMH,R
SAADR,SAAD,R
SAAVR,SAAV,R
SABVR,SABV,R
SDQR,SDQ,R
SIADR,SIAD,R
SIAVR,SIAV,R
SIBDR,SIBD,R
SIBVR,SIBV,R
SMBDR,SMBD,R
SMBVR,SMBV,R
SMDDR,SMDD,R
SMDVR,SMDV,R
URADR,URAD,R
URAVR,URAV,R
URBR,URB,R
URXR,URX,R
URYDR,URYD,R
URYVR,URYV,R
dBWMR1,dBWM1,R
dBWMR10,dBWM10,R
dBWMR11,dBWM11,R
dBWMR12,dBWM12,R
dBWMR13,dBWM13,R
dBWMR14,dBWM14,R
dBWMR15,dBWM15,R
dBWMR16,dBWM16,R
dBWMR2,dBWM2,R
dBWMR3,dBWM3,R
dBWMR4,dBWM4,R
dBWMR5,dBWM5,R
dBWMR6,dBWM6,R
dBWMR7,dBWM7,R
dBWMR8,dBWM8,R
dBWMR9,dBWM9,R
e3VR,e3V,R
g1AR,g1A,R
mc2DR,mc2D,R
pm3VR,pm3V,R
pm4VR,pm4V,R
pm5VR,pm5V,R
vBWMR1,vBWM1,R
vBWMR10,vBWM10,R
vBWMR11,vBWM11,R
vBWMR12,vBWM12,R
vBWMR13,vBWM13,R
vBWMR14,vBWM14,R
vBWMR15,vBWM15,R
vBWMR16,vBWM16,R
vBWMR2,vBWM2,R
vBWMR20,vBWM20,R
vBWMR21,vBWM21,R
vBWMR3,vBWM3,R
vBWMR4,vBWM4,R
vBWMR5,vBWM5,R
vBWMR6,vBWM6,R
vBWMR7,vBWM7,R
vBWMR8,vBWM8,R
vBWMR9,vBWM9,R
vm2AR,vm2A,R
vm2PR,vm2P,R
