I1L,M2L,1
I1L,M3L,6
I1L,pm1VL,2
I1L,I2R,1
I1L,M3R,2
I2L,I1L,2
I2L,MCL,1
I2L,pm3VL,2
I2L,I1R,1
I2L,M3R,5
I2L,NSMR,2
M2L,NSML,3
M2L,mc2DL,8
M3L,mc1DL,1
MCL,mc2DR,7
NSML,M2L,4
NSML,g1VL,1
I1R,M3L,1
I1R,M3R,2
I1R,mc1DR,1
I1R,mc2DR,1
I1R,pm1VR,1
I2R,I1L,2
I2R,M3L,1
I2R,NSML,1
I2R,I1R,2
I2R,MCR,1
I2R,pm3VR,3
M2R,NSMR,2
M2R,mc2DR,5
MCR,mc2DL,4
NSMR,M2R,6
NSMR,g1VR,3
