node_id,pair,hemisphere
ADEL,ADE,L
ADFL,ADF,L
ADLL,ADL,L
AFDL,AFD,L
AIAL,AIA,L
AIBL,AIB,L
AIML,AIM,L
AINL,AIN,L
AIYL,AIY,L
AIZL,AIZ,L
ALML,ALM,L
ALNL,ALN,L
ASEL,ASE,L
ASGL,ASG,L
ASHL,ASH,L
ASIL,ASI,L
ASJL,ASJ,L
ASKL,ASK,L
AUAL,AUA,L
AVAL,AVA,L
AVBL,AVB,L
AVDL,AVD,L
AVEL,AVE,L
AVFL,AVF,L
AVHL,AVH,L
AVJL,AVJ,L
AVKL,AVK,L
AWAL,AWA,L
AWBL,AWB,L
AWCL,AWC,L
BDUL,BDU,L
CEMDL,CEMD,L
CEMVL,CEMV,L
CEPDL,CEPD,L
CEPVL,CEPV,L
CEPshDL,CEPshD,L
CEPshVL,CEPshV,L
FLPL,FLP,L
GLRVL,GLRV,L
I1L,I1,L
I2L,I2,L
IL1L,IL1,L
IL1DL,IL1D,L
IL1VL,IL1V,L
IL2L,IL2,L
IL2DL,IL2D,L
IL2VL,IL2V,L
LUAL,LUA,L
M2L,M2,L
M3L,M3,L
MCL,MC,L
MCML,MCM,L
NSML,NSM,L
OLLL,OLL,L
OLQDL,OLQD,L
OLQVL,OLQV,L
PCAL,PCA,L
PCBL,PCB,L
PCCL,PCC,L
PDEL,PDE,L
PHAL,PHA,L
PHBL,PHB,L
PHCL,PHC,L
PHDL,PHD,L
PLML,PLM,L
PLNL,PLN,L
PVCL,PVC,L
PVDL,PVD,L
PVNL,PVN,L
PVPL,PVP,L
PVQL,PVQ,L
PVWL,PVW,L
R1AL,R1A,L
R1BL,R1B,L
R2AL,R2A,L
R2BL,R2B,L
R3AL,R3A,L
R3BL,R3B,L
R4AL,R4A,L
R4BL,R4B,L
R5AL,R5A,L
R5BL,R5B,L
R6AL,R6A,L
R6BL,R6B,L
R7AL,R7A,L
R7BL,R7B,L
R7stL,R7st,L
R8AL,R8A,L
R8BL,R8B,L
R9AL,R9A,L
R9BL,R9B,L
RIAL,RIA,L
RIBL,RIB,L
RICL,RIC,L
RIFL,RIF,L
RIGL,RIG,L
RIML,RIM,L
RIPL,RIP,L
RIVL,RIV,L
RMDL,RMD,L
RMDDL,RMDD,L
RMDVL,RMDV,L
RMEL,RME,L
RMFL,RMF,L
RMGL,RMG,L
RMHL,RMH,L
SAADL,SAAD,L
SAAVL,SAAV,L
SABVL,SABV,L
SDQL,SDQ,L
SIADL,SIAD,L
SIAVL,SIAV,L
SIBDL,SIBD,L
SIBVL,SIBV,L
SMBDL,SMBD,L
SMBVL,SMBV,L
SMDDL,SMDD,L
SMDVL,SMDV,L
SPCL,SPC,L
SPDL,SPD,L
SPVL,SPV,L
URADL,URAD,L
URAVL,URAV,L
URBL,URB,L
URXL,URX,L
URYDL,URYD,L
ailL,ail,L
aobL,aob,L
cdlL,cdl,L
dBWML1,dBWM1,L
dBWML10,dBWM10,L
dBWML11,dBWM11,L
dBWML12,dBWM12,L
dBWML13,dBWM13,L
dBWML14,dBWM14,L
dBWML15,dBWM15,L
dBWML16,dBWM16,L
dBWML2,dBWM2,L
dBWML24,dBWM24,L
dBWML3,dBWM3,L
dBWML4,dBWM4,L
dBWML5,dBWM5,L
dBWML6,dBWM6,L
dBWML7,dBWM7,L
dBWML8,dBWM8,L
dBWML9,dBWM9,L
dglL5,dgl5,L
dglL6,dgl6,L
dglL7,dgl7,L
dspL,dsp,L
e3VL,e3V,L
g1AL,g1A,L
gecL,gec,L
grtL,grt,L
mc2DL,mc2D,L
pm3VL,pm3V,L
pm4VL,pm4V,L
pm5VL,pm5V,L
pobL,pob,L
polL,pol,L
vBWML1,vBWM1,L
vBWML10,vBWM10,L
vBWML11,vBWM11,L
vBWML12,vBWM12,L
vBWML13,vBWM13,L
vBWML14,vBWM14,L
vBWML15,vBWM15,L
vBWML16,vBWM16,L
vBWML2,vBWM2,L
vBWML21,vBWM21,L
vBWML22,vBWM22,L
vBWML23,vBWM23,L
vBWML3,vBWM3,L
vBWML4,vBWM4,L
vBWML5,vBWM5,L
vBWML6,vBWM6,L
vBWML7,vBWM7,L
vBWML8,vBWM8,L
vBWML9,vBWM9,L
vspL,vsp,L
ADER,ADE,R
ADFR,ADF,R
ADLR,ADL,R
AFDR,AFD,R
AIAR,AIA,R
AIBR,AIB,R
AIMR,AIM,R
AINR,AIN,R
AIYR,AIY,R
AIZR,AIZ,R
ALMR,ALM,R
ALNR,ALN,R
ASER,ASE,R
ASGR,ASG,R
ASHR,ASH,R
ASIR,ASI,R
ASJR,ASJ,R
ASKR,ASK,R
AUAR,AUA,R
AVAR,AVA,R
AVBR,AVB,R
AVDR,AVD,R
AVER,AVE,R
AVFR,AVF,R
AVHR,AVH,R
AVJR,AVJ,R
AVKR,AVK,R
AWAR,AWA,R
AWBR,AWB,R
AWCR,AWC,R
BDUR,BDU,R
CEMDR,CEMD,R
CEMVR,CEMV,R
CEPDR,CEPD,R
CEPVR,CEPV,R
CEPshDR,CEPshD,R
CEPshVR,CEPshV,R
FLPR,FLP,R
GLRVR,GLRV,R
I1R,I1,R
I2R,I2,R
IL1R,IL1,R
IL1DR,IL1D,R
IL1VR,IL1V,R
IL2R,IL2,R
IL2DR,IL2D,R
IL2VR,IL2V,R
